Date,Symbol,Open,High,Low,Close,Volume,Market_Cap,Sector,Profit_Margin
2023-01-01,AMZN,472.847312993445,395.11097216538633,123.86721700067092,312.9167503805818,428910,2.5635596518574526,Retail,13.505574861281426
2023-01-02,TSLA,326.05327343568354,134.19415607946272,340.8255895238122,141.30600355001937,969485,1.968346064326815,Finance,26.398129739782444
2023-01-03,GOOGL,378.6603295507569,133.85897474492972,482.56524552110636,169.00955077854482,255063,2.5880289005319255,Energy,15.866953707911756
2023-01-04,TSLA,468.9997524709183,109.90393247012942,170.09252166457242,327.1897189264322,887733,2.152977806279732,Tech,9.82099022355614
2023-01-05,TSLA,382.89545372535946,492.38306631128944,408.07507093391143,218.54304540531535,783970,1.6841388693151107,Tech,9.777640567278624
2023-01-06,MSFT,,,453.62002354294964,475.3262914605264,705751,2.619957487366945,Energy,24.21910451802901
2023-01-07,GOOGL,,,467.7621291639872,427.49609179362034,790038,1.4765793411061832,Tech,11.639689957683999
2023-01-08,GOOGL,,,474.25356374015166,493.4268826054652,386610,1.448765959599591,Tech,24.180834853980574
2023-01-09,GOOGL,,,300.9765572949814,203.8683355801656,573656,2.0090058481096715,Energy,10.147182769164985
2023-01-10,TSLA,,,481.03662365664394,487.8894531191908,126081,1.5216984919241778,Tech,13.042159217532735
2023-01-11,AMZN,,,394.13753181810335,272.49354791662313,124354,1.0181740699024326,Retail,16.637174310992485
2023-01-12,GOOGL,,,158.86021731359995,239.00751812550186,717585,2.296595054597603,Finance,28.579896242336268
2023-01-13,TSLA,,,283.37554205484815,120.1398107877413,904732,2.022187642944796,Energy,28.293285618845616
2023-01-14,MSFT,,,378.7408142719416,121.10610314384104,164384,1.8910356289863224,Finance,10.171796885557196
2023-01-15,AMZN,,,192.69942474853792,376.8045023786619,981459,2.9339370292366307,Tech,13.95547603107682
2023-01-16,MSFT,435.55923457837366,414.57092819980306,348.04299750181053,283.17159777361115,745972,2.1423983679258276,Tech,8.734984711344307
2023-01-17,AMZN,149.86507248130675,212.34380347162664,358.3071892234146,190.60865041444228,947324,2.7268631555787692,Retail,17.749626982837427
2023-01-18,TSLA,468.33675304694896,113.48270921751968,159.26639880438353,345.5881225300931,135525,1.2789004724103203,Energy,16.514563767366667
2023-01-19,AAPL,447.9585448248513,138.27952532795308,318.2086984188387,201.14324730004446,106464,2.138412926258855,Tech,27.519004061268312
2023-01-20,AMZN,307.53522285042885,496.98331411223734,399.79262983655,331.05270173776904,640850,2.7359592534618056,Energy,28.250134444776815
2023-01-21,MSFT,336.51017429797173,224.65513487835523,292.0637874916971,243.68349879307613,993824,2.166211514559796,Energy,14.589184775182302
2023-01-22,TSLA,259.6010815480521,416.53537487444413,99.78073112656243,429.4208906447276,679802,2.436028356254003,Energy,17.293448575474734
2023-01-23,AMZN,121.90465552881253,357.9887453859768,98.57019528632041,428.2784643067117,475572,1.7440871356244148,Energy,27.40590622865333
2023-01-24,AAPL,234.07889665836038,259.6855540594228,236.0265908681548,290.9401592489605,212564,1.1848990340741332,Energy,25.167695193626535
2023-01-25,AAPL,421.14137943920457,188.3033411891998,460.8466570305539,240.32764373400624,470191,1.9158005902541428,Finance,5.091407783616232
2023-01-26,GOOGL,101.85280920184114,154.1614993545596,185.32732794342547,245.02391862363783,567435,1.788958781677715,Retail,13.001489104589563
2023-01-27,GOOGL,233.39966867645768,354.08025205574097,345.57365710431645,422.28581026728716,656922,2.734120364757895,Energy,15.544356048403147
2023-01-28,MSFT,259.26747743637736,418.72668115830413,182.71996892386164,231.2717931190448,886492,1.4879906047049445,Finance,10.742907092080792
2023-01-29,AMZN,314.9582411751692,365.7812226841579,222.0596459155217,183.6237494827384,895701,2.933468455070216,Tech,9.989290397398468
2023-01-30,AMZN,467.9422465651042,319.7723639659091,429.9766253925862,133.87533675012273,294215,2.916276239608992,Energy,5.9446126648919915
2023-01-31,GOOGL,238.5383977463845,121.99024548981268,382.90026969662904,286.6772483537634,647353,1.4952632861428774,Tech,21.084243126744013
2023-02-01,AMZN,238.78128075849108,497.23795492572543,132.6827145387182,292.8528395679367,365039,1.696103910954641,Energy,11.562757262079142
2023-02-02,AMZN,395.00049924389936,428.4792476201027,264.33729828964124,436.3634841611629,443003,2.79111148174777,Finance,6.308679460782827
2023-02-03,AAPL,280.88717635592286,223.59292486389072,106.52205663987947,188.4954785784256,767712,2.933244441792215,Finance,10.77448276320159
2023-02-04,GOOGL,189.8419291759928,501.8879833903345,284.9516079081885,252.39650946735998,204127,1.886878205672088,Finance,25.047848820903162
2023-02-05,TSLA,280.9758064530773,348.7620438027104,356.6614346219219,423.3622955574764,196426,1.6419940912817956,Retail,26.287229541163665
2023-02-06,GOOGL,156.34280815191994,340.8811765739348,141.80853632126986,429.4494442995894,292376,2.0521880265030843,Tech,17.076656129832564
2023-02-07,TSLA,170.55479460248932,407.9696376689605,209.10955086912043,253.84443039150727,111962,2.3755384127314696,Retail,15.401766760217154
2023-02-08,AAPL,299.3471090957919,433.7667641765057,252.145467073352,283.6496093146724,133302,1.5469490307499596,Energy,29.446342337544543
2023-02-09,MSFT,267.57017980181917,370.87383596925855,458.21475473913966,221.31435633971319,447526,2.4729463492381454,Tech,10.014116489701747
2023-02-10,AMZN,465.93836042724,156.87877727831102,487.3357310920708,473.0219513677248,104011,1.103314714229282,Finance,10.383982071365212
2023-02-11,AAPL,244.95755964665324,241.99833992777184,112.73996310326827,147.45750629663212,119782,1.0985889855288329,Tech,12.296679425909993
2023-02-12,AMZN,332.2353401112174,480.87387433205015,395.59812978067987,473.499769200588,298763,1.7725754102910904,Finance,9.318932957027183
2023-02-13,MSFT,352.90571516781216,195.96932279676003,241.8310062289256,373.5465807341373,744942,1.7069463841214412,Retail,14.484139955104665
2023-02-14,MSFT,105.23778263533346,255.7276446541929,250.02098356064462,312.6288610746925,532941,1.6312664307343046,Retail,27.770855674743846
2023-02-15,AAPL,365.41494880668427,279.99113759239935,392.93466447207396,113.06362431379836,633484,1.98203952533782,Finance,20.383696015714357
2023-02-16,MSFT,171.21438674790056,282.9590208262531,457.7784406974364,290.23847672880333,143459,1.6414671646231425,Finance,15.298663715306592
2023-02-17,TSLA,484.42812698778204,353.2405309102828,470.6167948285066,263.0992420010929,711533,1.3845158369361839,Energy,28.36026986428037
2023-02-18,MSFT,159.46509110124518,486.9457142866066,322.9634214851367,164.487524790049,622829,1.6189390981772018,Retail,6.2116058118955575
2023-02-19,AMZN,265.8496494908095,202.4805482921645,236.0628579236986,362.5638414002628,703151,2.9498085456204697,Retail,10.256904447546535
